,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,unixTime,processedText,processedSummary
4164,4,False,"05 15, 2009",A22CW0ZHY3NJH8,B001F51RAG,{'Flavor:': ' Comfort Plus Mint'},(),"This floss does feel softer in the hands. It is just as strong, doesn't shred and glides between teeth just as smoothly as original Glide.

I could do without the mint flavor. I don't taste the flavor at all, but it makes the floss smell medicinal, not so pleasant. Usually, mint floss is refreshing, but not here. I would like this floss without flavor and will try Glide Comfort Plus Unflavored next time.",Soft to the touch,1242345600,,,2009-05-15,"['floss', 'feel', 'softer', 'hand', 'strong', 'doesnnot', 'shred', 'glide', 'teeth', 'smoothly', 'original', 'glide', 'could', 'without', 'mint', 'flavor', 'donnot', 'taste', 'flavor', 'make', 'floss', 'smell', 'medicinal', 'pleasant', 'usually', 'mint', 'floss', 'refreshing', 'would', 'like', 'floss', 'without', 'flavor', 'try', 'glide', 'comfort', 'plus', 'unflavored', 'next', 'time']","['soft', 'touch']"
4772,3,False,"08 21, 2014",A22CW0ZHY3NJH8,B00EYZY6LQ,,(),"This looks like mousse, but it's not.  I made the mistake of putting it on my hair after I got out of the shower only to read the directions and having to rinse this stuff out of my hair.  It's conditioner.

No matter what a conditioner is advertised to do (this one is for volume), I want it to detangle my hair.  Fekkai doesn't quite cut it.  Whereas I could simply use a wet brush after using my other conditioner, with Fekkai, I also need to use my detangling comb.  There are tangles everywhere.

On the plus side, it has a pleasant scent -- supposed to be citrus and ginseng.  It's not sweet citrus, it's more like the bitter peel -- a bit strong, but not too shabby.",It's a Conditioner,1408579200,,,2014-08-21,"['look', 'like', 'mousse', 'itis', 'made', 'mistake', 'putting', 'hair', 'got', 'shower', 'read', 'direction', 'rinse', 'stuff', 'hair', 'itis', 'conditioner', 'matter', 'conditioner', 'advertised', 'one', 'volume', 'want', 'detangle', 'hair', 'fekkai', 'doesnnot', 'quite', 'cut', 'whereas', 'could', 'simply', 'use', 'wet', 'brush', 'using', 'conditioner', 'fekkai', 'also', 'need', 'use', 'detangling', 'comb', 'tangle', 'everywhere', 'plus', 'side', 'pleasant', 'scent', 'supposed', 'citrus', 'ginseng', 'itis', 'sweet', 'citrus', 'itis', 'like', 'bitter', 'peel', 'bit', 'strong', 'shabby']","['itis', 'conditioner']"
4157,4,False,"08 7, 2016",A22CW0ZHY3NJH8,B001ET7FZE,{'Style Name:': ' Bubble Fruit'},(),"My daughter, a verified kid, won't use adult toothpaste.  She almost refused to use Colgate Kids toothpaste because it looks so much like adult toothpaste.  Hint to the makers: Your design team really needs to step up to the plate.  Throw some color on that tube!

After I convinced her to use the toothpaste, she was quite happy.  Bubblegum (ahem, bubble fruit) isn't her favorite flavor, but she says it tastes just like the other sparkly toothpastes, and she likes the pump action because it's less mess than traditional tubes.  Yes, the pump and the rocket stand are definite pluses.  No more toothpaste all over the sink.  She still uses the toothpaste without complaint, so it's a thumbs up from her.","it tastes just like the other sparkly toothpastes, and she likes the",1470528000,,,2016-08-07,"['daughter', 'verified', 'kid', 'use', 'adult', 'toothpaste', 'almost', 'refused', 'use', 'colgate', 'kid', 'toothpaste', 'look', 'much', 'like', 'adult', 'toothpaste', 'hint', 'maker', 'design', 'team', 'really', 'need', 'step', 'plate', 'throw', 'color', 'tube', 'convinced', 'use', 'toothpaste', 'quite', 'happy', 'bubblegum', 'ahem', 'bubble', 'fruit', 'isnnot', 'favorite', 'flavor', 'say', 'taste', 'like', 'sparkly', 'toothpaste', 'like', 'pump', 'action', 'itis', 'le', 'mess', 'traditional', 'tube', 'yes', 'pump', 'rocket', 'stand', 'definite', 'plus', 'toothpaste', 'sink', 'still', 'us', 'toothpaste', 'without', 'complaint', 'itis', 'thumb']","['taste', 'like', 'sparkly', 'toothpaste', 'like']"
4143,4,False,"02 14, 2017",A22CW0ZHY3NJH8,B001E96LUO,"{'Size:': ' 6.5 Ounce (Pack of 4)', 'Style Name:': ' Cream, Sensitive Skin'}",(),"Clean & Clear sure knows how to make a cleanser feel gentle.  It's not sudsy like a soap.  It's more like a lotion.  The scent was hard to pinpoint, but I'd say it's a bit like cucumber.  This has salicylic acid, folks, the stuff that's in acne treatment.  I should have known, I mean ""Clean & Clear,"" right? My face feels clean afterwards. The one star deduction is for the scent, which I don't think is the greatest.",It's not sudsy like a soap,1487030400,,,2017-02-14,"['clean', 'clear', 'sure', 'know', 'make', 'cleanser', 'feel', 'gentle', 'itis', 'sudsy', 'like', 'soap', 'itis', 'like', 'lotion', 'scent', 'hard', 'pinpoint', 'iwould', 'say', 'itis', 'bit', 'like', 'cucumber', 'salicylic', 'acid', 'folk', 'stuff', 'thatis', 'acne', 'treatment', 'known', 'mean', 'clean', 'clear', 'right', 'face', 'feel', 'clean', 'afterwards', 'one', 'star', 'deduction', 'scent', 'donnot', 'think', 'greatest']","['itis', 'sudsy', 'like', 'soap']"
4875,5,False,"09 1, 2017",A22CW0ZHY3NJH8,B00W259T7G,"{'Size:': ' 150 Gram', 'Color:': ' White Gardenia'}",(),"This soap goes on as smooth as butter.  Even with the bits of stuff I'm sure is there for exfoliation, I only sense richness.  The floral scent is light, not overpowering, and I don't notice myself wearing it after my shower is done.  The bar is much fatter than standard bars from the grocery store. Even though it feels like it melts in my hands, it actually lasts and lasts.  With this soap, I shower in the lap of luxury.",in the lap of luxury.,1504224000,,,2017-09-01,"['soap', 'go', 'smooth', 'butter', 'even', 'bit', 'stuff', 'iam', 'sure', 'exfoliation', 'sense', 'richness', 'floral', 'scent', 'light', 'overpowering', 'donnot', 'notice', 'wearing', 'shower', 'done', 'bar', 'much', 'fatter', 'standard', 'bar', 'grocery', 'store', 'even', 'though', 'feel', 'like', 'melt', 'hand', 'actually', 'last', 'last', 'soap', 'shower', 'lap', 'luxury']","['lap', 'luxury']"
4692,4,False,"09 5, 2017",A22CW0ZHY3NJH8,B002GP80EU,{'Color:': ' Soap Mitt'},(),"I haven't used this mitt to hold my small soaps, but I have used it with body wash.  The jute side doesn't feel so rough when it's dry, but don't let that fool you.  It can really scrub!  And boy, are there areas of my body that need it.  The other side is bamboo fiber, which is super soft.  It holds all my body wash, maybe too well because I'm not getting quite the number of suds that I expect.  However, I do like this mitt because it scrubs me cleaner than I've felt for a long time.  Dead skin cells be gone!",which is super soft. It holds all my body wash,1504569600,,,2017-09-05,"['havennot', 'used', 'mitt', 'hold', 'small', 'soap', 'used', 'body', 'wash', 'jute', 'side', 'doesnnot', 'feel', 'rough', 'itis', 'dry', 'donnot', 'let', 'fool', 'really', 'scrub', 'boy', 'area', 'body', 'need', 'side', 'bamboo', 'fiber', 'super', 'soft', 'hold', 'body', 'wash', 'maybe', 'well', 'iam', 'getting', 'quite', 'number', 'suds', 'expect', 'however', 'like', 'mitt', 'scrub', 'cleaner', 'ihave', 'felt', 'long', 'time', 'dead', 'skin', 'cell', 'gone']","['super', 'soft', 'hold', 'body', 'wash']"
4842,4,False,"10 3, 2017",A22CW0ZHY3NJH8,B00W259T7G,"{'Size:': ' 250 Gram', 'Color:': ' Sandalwood'}",(),"I know sandalwood is a more manly scent; but even though I'm not sure wood is what I want my man to wear, it is the best-smelling wood I I've ever smelled in a soap.  Women can wear it, too, by the way.  Although I have to say, this bar is big, so make sure you have hands big enough to wrap around it.",I know sandalwood is a more manly scent; but ...,1506988800,,,2017-10-03,"['know', 'sandalwood', 'manly', 'scent', 'even', 'though', 'iam', 'sure', 'wood', 'want', 'man', 'wear', 'best', 'smelling', 'wood', 'ihave', 'ever', 'smelled', 'soap', 'woman', 'wear', 'way', 'although', 'say', 'bar', 'big', 'make', 'sure', 'hand', 'big', 'enough', 'wrap', 'around']","['know', 'sandalwood', 'manly', 'scent']"
144,5,True,"10 20, 2016",A3KXVT8LE6X9LR,B00006L9LC,{'Size:': ' 561'},415sf,ive been using this cleanser for a few years now. i only found it in korea and brought a few tubes every time i visit (once a year). gentle but gets all the crap off. so happy to see it available stateside now.,gentle but gets all the crap off. so happy to see it available stateside ...,1476921600,2,,2016-10-20,"['ive', 'using', 'cleanser', 'year', 'found', 'korea', 'brought', 'tube', 'every', 'time', 'visit', 'year', 'gentle', 'get', 'crap', 'happy', 'see', 'available', 'stateside']","['gentle', 'get', 'crap', 'happy', 'see', 'available', 'stateside']"
327,5,True,"06 27, 2015",A19GO5VNH8D1TF,B00006L9LC,{'Size:': ' 392'},A. Caldwell,"Always excellent, third time ordering, more to come, husband loves the soap.",Great Soap,1435363200,,,2015-06-27,"['always', 'excellent', 'third', 'time', 'ordering', 'come', 'husband', 'love', 'soap']","['great', 'soap']"
4697,4,False,"08 31, 2017",AM18CU72YEWH5,B002GP80EU,{'Color:': ' Cellulite Brush'},A. J Terry,"This is . . . a bath brush!  With nice thick bristles on one side, and rounded plastic knobs on the other side. Both are suitable for cleaning your back and any other area that is hard to reach, though I prefer the bristle side. As for reducing cellulite . . . not really.","A good, two-sided bath brush",1504137600,,,2017-08-31,"['bath', 'brush', 'nice', 'thick', 'bristle', 'one', 'side', 'rounded', 'plastic', 'knob', 'side', 'suitable', 'cleaning', 'back', 'area', 'hard', 'reach', 'though', 'prefer', 'bristle', 'side', 'reducing', 'cellulite', 'really']","['good', 'two', 'sided', 'bath', 'brush']"
4884,5,False,"08 31, 2017",AM18CU72YEWH5,B00W259T7G,"{'Size:': ' 150 Gram', 'Color:': ' Lemongrass'}",A. J Terry,"This is a medium-sized bar of hard soap with a pleasant lemon scent. I have sensitive skin, and this soap does not irritate it. Perfect for the tub, sink, or a luxury gift.",Great luxury soap with a lemon scent,1504137600,,,2017-08-31,"['medium', 'sized', 'bar', 'hard', 'soap', 'pleasant', 'lemon', 'scent', 'sensitive', 'skin', 'soap', 'irritate', 'perfect', 'tub', 'sink', 'luxury', 'gift']","['great', 'luxury', 'soap', 'lemon', 'scent']"
4189,4,False,"09 3, 2017",AM18CU72YEWH5,B001LNODUS,{'Color:': ' Bath Salts'},A. J Terry,"These bath salts do smell like real lavender, and turn bathing into a luxurious experience.  They would make a nice but inexpensive holiday gift.",Theis review is for Pre de Provence lavender bath salts,1504396800,,,2017-09-03,"['bath', 'salt', 'smell', 'like', 'real', 'lavender', 'turn', 'bathing', 'luxurious', 'experience', 'would', 'make', 'nice', 'inexpensive', 'holiday', 'gift']","['theis', 'review', 'pre', 'de', 'provence', 'lavender', 'bath', 'salt']"
2198,5,True,"10 19, 2014",A2O7BWHBIV1HWZ,B00570RQ0A,,A/C dude,worked great!!,Five Stars,1413676800,,,2014-10-19,"['worked', 'great']","['five', 'star']"
2222,5,True,"11 10, 2014",A2O7BWHBIV1HWZ,B00DM8JA7Q,,A/C dude,worked great,Five Stars,1415577600,,,2014-11-10,"['worked', 'great']","['five', 'star']"
2174,5,True,"11 27, 2014",A2O7BWHBIV1HWZ,B004XLDHSE,,A/C dude,Worked great!!,Five Stars,1417046400,,,2014-11-27,"['worked', 'great']","['five', 'star']"
2204,5,True,"11 27, 2014",A2O7BWHBIV1HWZ,B008YDSH6E,,A/C dude,Worked great!! I just wonder how long they last. Guess I'll find out. This product is very easy to install!!,Worked great!! I just wonder how long they last,1417046400,,,2014-11-27,"['worked', 'great', 'wonder', 'long', 'last', 'guess', 'iwill', 'find', 'product', 'easy', 'install']","['worked', 'great', 'wonder', 'long', 'last']"
2227,5,True,"01 3, 2015",A2O7BWHBIV1HWZ,B00DM8J11Q,,A/C dude,Great!!,Five Stars,1420243200,,,2015-01-03,['great'],"['five', 'star']"
339,5,False,"04 18, 2017",A3S1CGGMXE41RR,B001IKJOLW,"{'Size:': ' 8 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",AA - Amazon Addicted!!,"I love these shoes and have worn them for a long time. That are comfy, thinner on the top & sole and are very cute!",Very Good For Everyday,1492473600,,,2017-04-18,"['love', 'shoe', 'worn', 'long', 'time', 'comfy', 'thinner', 'top', 'sole', 'cute']","['good', 'everyday']"
185,4,True,"03 17, 2018",AHXQ0PAMEKC0P,B001IKJOLW,"{'Size:': ' 8 D - Wide', 'Color:': ' Cool Grey / Volt - Wolf Grey - Pure Platinum'}",ALH,"Comfortable athletic shoe,  good for the gym (ellipical, tredmill, etc.) Fit is good, and shoe is really lightweight and comfy.","Comfortable, lightweight Xtrainer",1521244800,,,2018-03-17,"['comfortable', 'athletic', 'shoe', 'good', 'gym', 'ellipical', 'tredmill', 'etc', 'fit', 'good', 'shoe', 'really', 'lightweight', 'comfy']","['comfortable', 'lightweight', 'xtrainer']"
542,5,True,"12 30, 2016",A1Y5HC26OO5D4H,B0009RF9DW,{'Size:': ' 192'},ANTOINETTE COHEN,Excellent,Five Stars,1483056000,,,2016-12-30,['excellent'],"['five', 'star']"
297,5,True,"09 19, 2015",A1FPB20OAZLA3T,B00006L9LC,{'Size:': ' 401'},APPRAISER REVIEWER,"HALE BERRY Pure Orchid is a wonderful fragrance, it is becoming harder to find in dept. stores.",Five Stars,1442620800,,,2015-09-19,"['hale', 'berry', 'pure', 'orchid', 'wonderful', 'fragrance', 'becoming', 'harder', 'find', 'dept', 'store']","['five', 'star']"
222,3,True,"11 28, 2017",A22FYN2DKXSWS0,B001IKJOLW,"{'Size:': ' 6 B(M) US', 'Color:': ' Black/White-anthracite-stealth'}",APrime Tower,"Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.","Not sure why, but my mid section of my ...",1511827200,,,2017-11-28,"['sure', 'mid', 'section', 'foot', 'start', 'hurt', 'using', 'shoe', 'long', 'day', 'tough', 'workout', 'gym', 'ihave', 'owned', 'nike', 'shoe', 'line', 'never', 'happened']","['sure', 'mid', 'section']"
442,5,True,"10 29, 2016",A2CP5A30XO5JUO,B001IKJOLW,"{'Size:': ' 9 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Aaron O.,Love them!  Very comfortable and great for weight training!,Love them! Very comfortable and great for weight training,1477699200,,,2016-10-29,"['love', 'comfortable', 'great', 'weight', 'training']","['love', 'comfortable', 'great', 'weight', 'training']"
